Equivalent Circle Diameter (µm),,
Min,Max,Area-Weighted Fraction
2.79,3.1284,0.114515212
3.1284,3.4668,0.11017913
3.4668,3.8052,0.08139039
3.8052,4.1436,0.096175718
4.1436,4.482,0.058217231
4.482,4.8204,0.086366221
4.8204,5.1588,0.098947967
5.1588,5.4972,0.072860392
5.4972,5.8356,0.058572647
5.8356,6.174,0.032200739
6.174,6.5124,0.039451237
6.5124,6.8508,0.04080182
6.8508,7.1892,0.027082741
7.1892,7.5276,0.01009383
7.5276,7.866,0.021182826
7.866,8.2044,0.017557577
8.2044,8.5428,0.006610748
8.5428,8.8812,0.006752914
8.8812,9.2196,0
9.2196,9.558,0
9.558,9.8964,0
9.8964,10.2348,0.009525163
10.2348,10.5732,0
10.5732,10.9116,0
10.9116,11.25,0
11.25,11.5884,0.011515496
